sh.603369,1.862750,5.293544,1.142596
sh.600188,0.380228,2.556813,0.092338
sh.600150,0.405682,4.983163,1.924312
sz.300595,0.916454,0.422388,3.680336
sz.002791,1.533741,-0.830813,-0.913937
sz.002032,0.555919,4.975606,2.338913
sh.603369,1.862750,5.293544,1.142596
sh.600188,0.380228,2.556813,0.092338
sh.600150,0.405682,4.983163,1.924312
sz.300595,0.916454,0.422388,3.680336
sz.002791,1.533741,-0.830813,-0.913937
sz.002032,0.555919,4.975606,2.338913
sh.603369,1.862750,5.293544,1.142596
sh.600188,0.380228,2.556813,0.092338
sh.600150,0.405682,4.983163,1.924312
sz.300595,0.916454,0.422388,3.680336
sz.002791,1.533741,-0.830813,-0.913937
sz.002032,0.555919,4.975606,2.338913
sh.603369,1.862750,5.293544,1.142596
sh.600188,0.380228,2.556813,0.092338
sh.600150,0.405682,4.983163,1.924312
sz.300595,0.916454,0.422388,3.680336
sz.002791,1.533741,-0.830813,-0.913937
sz.002032,0.555919,4.975606,2.338913
sh.603369,1.862750,5.293544,1.142596
sh.600188,0.380228,2.556813,0.092338
sh.600150,0.405682,4.983163,1.924312
sz.300595,0.916454,0.422388,3.680336
sz.002791,1.533741,-0.830813,-0.913937
sz.002032,0.555919,4.975606,2.338913
