date,code,volume,pctChg
2020-08-04,sz.000001,244566325,3.311300
2020-08-05,sz.000001,144020313,-1.994300
2020-08-06,sz.000001,135251068,1.017400
2020-08-07,sz.000001,98867837,-1.438800
2020-08-10,sz.000001,158771035,1.824800
2020-08-11,sz.000001,260330789,1.290300
2020-08-12,sz.000001,159681170,1.769300
2020-08-13,sz.000001,83726175,-1.390800
2020-08-14,sz.000001,110321582,2.045100
2020-08-17,sz.000001,326802784,4.975800
2020-08-18,sz.000001,135026107,-0.263300
2020-08-19,sz.000001,142092811,-0.330000
2020-08-20,sz.000001,133380162,-3.377500
2020-08-21,sz.000001,123451733,-0.959600
2020-08-24,sz.000001,91944886,0.069200
2020-08-25,sz.000001,74832022,0.968200
2020-08-26,sz.000001,73411772,-1.575300
2020-08-27,sz.000001,62666677,0.626300
2020-08-28,sz.000001,241040002,4.633500
2020-08-31,sz.000001,179712954,-0.330500
2020-09-01,sz.000001,81364258,0.397900
2020-09-02,sz.000001,167938297,1.188900
2020-09-03,sz.000001,127984159,-2.741500
2020-09-04,sz.000001,90988999,0.402700
2020-09-07,sz.000001,103137681,-0.133700
2020-09-08,sz.000001,140760166,3.279800
2020-09-09,sz.000001,101357247,-1.425800
2020-09-10,sz.000001,95709239,0.854700
2020-09-11,sz.000001,95423625,-2.151200
2020-09-14,sz.000001,68025105,1.932000
2020-09-15,sz.000001,65713267,0.326800
2020-09-16,sz.000001,72241475,0.586300
2020-09-17,sz.000001,98821563,0.842000
2020-09-18,sz.000001,137319330,3.211300
2020-09-21,sz.000001,89616165,-1.306800
2020-09-22,sz.000001,86775631,-1.828500
2020-09-23,sz.000001,59920047,0.385400
2020-09-24,sz.000001,106101124,-3.263000
2020-09-25,sz.000001,61408700,0.463000
2020-09-28,sz.000001,61271111,0.790000
2020-09-29,sz.000001,118237440,-3.331200
2020-09-30,sz.000001,121706482,2.500000
2020-10-09,sz.000001,90042593,0.065900
2020-10-12,sz.000001,159134715,4.743100
2020-10-13,sz.000001,90881948,1.006300
2020-10-14,sz.000001,66256236,-0.186800
2020-10-15,sz.000001,160006232,3.306300
2020-10-16,sz.000001,209561419,3.260900
2020-10-19,sz.000001,201610552,2.222200
2020-10-20,sz.000001,96007195,0.343200
2020-10-21,sz.000001,124456018,2.109500
2020-10-22,sz.000001,189051905,-1.954200
2020-10-23,sz.000001,169850168,3.246000
2020-10-26,sz.000001,117559865,-2.371800
2020-10-27,sz.000001,103486504,0.339000
2020-10-28,sz.000001,120582386,-0.732000
2020-10-29,sz.000001,84660362,0.794100
2020-10-30,sz.000001,100780383,-0.112500
2020-11-02,sz.000001,96845277,-0.676100
2020-11-03,sz.000001,95786863,1.871800
2020-11-04,sz.000001,124763640,2.004500
2020-11-05,sz.000001,142946944,-3.384300
2020-11-06,sz.000001,84878153,-0.339000
2020-11-09,sz.000001,95142432,1.133800
2020-11-10,sz.000001,102106281,1.513500
2020-11-11,sz.000001,94013007,-1.656500
2020-11-12,sz.000001,67725848,-0.842200
2020-11-13,sz.000001,128918923,-2.718000
2020-11-16,sz.000001,75985693,1.105900
2020-11-17,sz.000001,85293051,2.648200
2020-11-18,sz.000001,137340072,3.533400
2020-11-19,sz.000001,121174062,2.112700
2020-11-20,sz.000001,67391922,0.053100
2020-11-23,sz.000001,116585826,4.029700
2020-11-24,sz.000001,67854323,-1.325200
2020-11-25,sz.000001,55258501,-1.549600
2020-11-26,sz.000001,63965789,2.308500
2020-11-27,sz.000001,75377374,1.025600
2020-11-30,sz.000001,158144128,0.203000
2020-12-01,sz.000001,126371975,1.570400
2020-12-02,sz.000001,88938529,-2.094800
2020-12-03,sz.000001,71445230,-0.458500
2020-12-04,sz.000001,89134784,-1.228200
2020-12-07,sz.000001,87380661,-2.020700
2020-12-08,sz.000001,71964751,-1.057600
2020-12-09,sz.000001,67722115,0.000000
2020-12-10,sz.000001,60786655,-0.320700
2020-12-11,sz.000001,88779387,-0.697100
2020-12-14,sz.000001,83599174,1.943800
2020-12-15,sz.000001,78885794,-0.741500
2020-12-16,sz.000001,68907042,1.440800
2020-12-17,sz.000001,68614069,-0.315600
2020-12-18,sz.000001,105875636,-3.113500
2020-12-21,sz.000001,90687811,-0.435700
2020-12-22,sz.000001,102873751,-2.078800
2020-12-23,sz.000001,75008273,0.558700
2020-12-24,sz.000001,63295012,1.444400
2020-12-25,sz.000001,57707733,-1.204800
2020-12-28,sz.000001,127033706,4.490000
2020-12-29,sz.000001,96309223,1.697600
2020-12-30,sz.000001,97849778,0.156500
2020-12-31,sz.000001,92450343,0.729200
date,code,volume,pctChg
2020-01-02,sz.000002,101213040,1.180900
2020-01-03,sz.000002,80553629,-1.566300
2020-01-06,sz.000002,87684058,-1.684900
2020-01-07,sz.000002,57793343,0.793400
2020-01-08,sz.000002,52999684,-0.251900
2020-01-09,sz.000002,78373446,1.641400
2020-01-10,sz.000002,55744373,-2.298100
2020-01-13,sz.000002,62074912,0.699300
2020-01-14,sz.000002,41971228,-0.915400
2020-01-15,sz.000002,67294431,-2.867200
2020-01-16,sz.000002,58139589,0.131200
2020-01-17,sz.000002,47221927,-0.229300
2020-01-20,sz.000002,91563767,-1.937000
2020-01-21,sz.000002,81796927,-2.209600
2020-01-22,sz.000002,93771024,3.081100
2020-01-23,sz.000002,98694879,-3.752900
2020-02-03,sz.000002,153086547,-8.109000
2020-02-04,sz.000002,103628313,3.717600
2020-02-05,sz.000002,80068551,0.072400
2020-02-06,sz.000002,87186933,0.940700
2020-02-07,sz.000002,71378548,-1.433700
2020-02-10,sz.000002,91123804,4.254500
2020-02-11,sz.000002,68535405,1.430100
2020-02-12,sz.000002,41758679,0.000000
2020-02-13,sz.000002,89569809,2.991700
2020-02-14,sz.000002,119770317,2.838100
2020-02-17,sz.000002,102213900,-1.233800
2020-02-18,sz.000002,78595188,-2.366900
2020-02-19,sz.000002,60820721,-0.168400
2020-02-20,sz.000002,80199628,0.674500
2020-02-21,sz.000002,105920154,-2.010100
2020-02-24,sz.000002,94999558,-1.196600
2020-02-25,sz.000002,105297000,1.487900
2020-02-26,sz.000002,165445671,2.659400
2020-02-27,sz.000002,92275882,-1.461300
2020-02-28,sz.000002,110129976,-0.269600
2020-03-02,sz.000002,137574700,5.204500
2020-03-03,sz.000002,94283195,-0.096400
2020-03-04,sz.000002,112979624,3.729900
2020-03-05,sz.000002,92417006,0.124000
2020-03-06,sz.000002,67952896,-3.622300
2020-03-09,sz.000002,84361344,-1.863200
2020-03-10,sz.000002,76599364,0.818300
2020-03-11,sz.000002,56331860,-1.363600
2020-03-12,sz.000002,59349428,-1.415400
2020-03-13,sz.000002,73253061,-1.669400
2020-03-16,sz.000002,64661459,-3.090000
2020-03-17,sz.000002,71078617,-1.506700
2020-03-18,sz.000002,192869685,-6.439000
2020-03-19,sz.000002,151007905,-4.068400
2020-03-20,sz.000002,97529053,2.259200
2020-03-23,sz.000002,70378195,-4.845000
2020-03-24,sz.000002,93404765,1.425700
2020-03-25,sz.000002,149760554,6.425700
2020-03-26,sz.000002,57625364,-1.132100
2020-03-27,sz.000002,83489353,1.412200
2020-03-30,sz.000002,85001808,-1.994700
2020-03-31,sz.000002,60704410,-1.497700
2020-04-01,sz.000002,107433164,3.820700
2020-04-02,sz.000002,66309738,0.938800
2020-04-03,sz.000002,56945280,-0.409200
2020-04-07,sz.000002,67154006,1.120700
2020-04-08,sz.000002,41251395,-0.406400
2020-04-09,sz.000002,38726254,-1.001500
2020-04-10,sz.000002,62460322,0.711900
2020-04-13,sz.000002,43264902,0.595200
2020-04-14,sz.000002,64241868,1.146400
2020-04-15,sz.000002,70359257,-2.376600
2020-04-16,sz.000002,50238931,-0.449400
2020-04-17,sz.000002,83813322,0.526700
2020-04-20,sz.000002,85012343,-0.523900
2020-04-21,sz.000002,79072744,-2.106800
2020-04-22,sz.000002,52540708,0.422700
2020-04-23,sz.000002,45051946,-0.497500
2020-04-24,sz.000002,49794003,-1.230800
2020-04-27,sz.000002,71075344,0.778800
2020-04-28,sz.000002,77942703,1.970600
2020-04-29,sz.000002,80168834,1.781000
2020-04-30,sz.000002,69687813,-0.223400
2020-05-06,sz.000002,92306498,-2.014900
2020-05-07,sz.000002,57316477,-1.104300
2020-05-08,sz.000002,91321417,1.116700
2020-05-11,sz.000002,79506739,0.571200
2020-05-12,sz.000002,77605774,-1.817500
2020-05-13,sz.000002,62809862,0.000000
2020-05-14,sz.000002,70551216,-1.696900
2020-05-15,sz.000002,46015555,0.000000
2020-05-18,sz.000002,138565294,2.824600
2020-05-19,sz.000002,68078693,-0.305200
2020-05-20,sz.000002,110535427,-1.990000
2020-05-21,sz.000002,41036320,-0.117100
2020-05-22,sz.000002,53424167,-1.641900
2020-05-25,sz.000002,51276102,1.192400
2020-05-26,sz.000002,55278167,1.453300
2020-05-27,sz.000002,55524420,0.271000
2020-05-28,sz.000002,70976946,0.926600
2020-05-29,sz.000002,52078350,-1.683200
2020-06-01,sz.000002,77900422,2.723700
2020-06-02,sz.000002,102084483,3.181800
2020-06-03,sz.000002,92749214,-1.468400
2020-06-04,sz.000002,72455579,-0.409800
2020-06-05,sz.000002,64940073,-1.197200
2020-06-08,sz.000002,70904066,0.719400
2020-06-09,sz.000002,73099449,-0.601500
2020-06-10,sz.000002,82901761,-0.983400
2020-06-11,sz.000002,65046772,-1.069500
2020-06-12,sz.000002,57849516,-0.733600
2020-06-15,sz.000002,69373188,-0.427800
2020-06-16,sz.000002,57704046,0.859400
2020-06-17,sz.000002,45463412,-0.542200
2020-06-18,sz.000002,73326233,0.817800
2020-06-19,sz.000002,79746001,0.231800
2020-06-22,sz.000002,70139398,-1.001900
2020-06-23,sz.000002,64300245,-0.545000
2020-06-24,sz.000002,142603984,3.326800
2020-06-29,sz.000002,89395913,-1.818200
2020-06-30,sz.000002,71438368,0.848800
2020-07-01,sz.000002,260274854,7.459800
2020-07-02,sz.000002,213474387,1.068000
2020-07-03,sz.000002,174435560,0.915800
2020-07-06,sz.000002,230128506,8.272300
2020-07-07,sz.000002,171319580,-2.321100
2020-07-08,sz.000002,160128780,0.330000
