date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sh.600029,106953129,1.969873,8.8000,8.9500,945076336.0000,1.522974
2017-06-02,sh.600029,58698120,-1.477274,8.6700,8.8800,513237968.0000,0.835840
2017-06-05,sh.600029,40427479,0.461361,8.7100,8.8600,353941392.0000,0.575673
2017-06-06,sh.600029,50711862,0.574055,8.7600,8.7800,438061088.0000,0.722119
2017-06-07,sh.600029,77534082,-0.570778,8.7100,8.8600,677977536.0000,1.104057
2017-06-08,sh.600029,103924520,2.640638,8.9400,9.0800,932693376.0000,1.479848
2017-06-09,sh.600029,52173223,0.894864,9.0200,9.0600,468769584.0000,0.742928
2017-06-12,sh.600029,59960779,0.665183,9.0800,9.1800,543817392.0000,0.853820
2017-06-13,sh.600029,36754481,-1.101326,8.9800,9.0600,328623168.0000,0.523371
2017-06-14,sh.600029,50484880,-1.559013,8.8400,8.9900,445313600.0000,0.718886
2017-06-15,sh.600029,57995603,0.565613,8.8900,8.9700,513919376.0000,0.825836
2017-06-16,sh.600029,36544231,0.000000,8.8900,8.9100,322875104.0000,0.520377
2017-06-19,sh.600029,57392760,2.137228,9.0800,9.1800,518939648.0000,0.817252
2017-06-20,sh.600029,57823781,-1.651978,8.9300,9.1000,515882336.0000,0.823390
2017-06-21,sh.600029,44103217,0.111974,8.9400,9.0300,394054176.0000,0.628014
2017-06-22,sh.600029,60425292,0.447427,8.9800,9.0400,542222816.0000,0.860434
2017-06-23,sh.600029,59191098,-1.336302,8.8600,8.9500,521843312.0000,0.842860
2017-06-26,sh.600029,95436758,2.144476,9.0500,9.0800,858363584.0000,1.358985
2017-06-27,sh.600029,118695932,-2.762431,8.8000,8.9800,1041481312.0000,1.690187
2017-06-28,sh.600029,60319550,-1.931819,8.6300,8.7800,523195280.0000,0.858929
2017-06-29,sh.600029,36780037,0.347622,8.6600,8.6600,316093152.0000,0.523734
2017-06-30,sh.600029,26820350,0.461893,8.7000,8.7200,232528375.0000,0.381912
2017-07-03,sh.600029,50430937,-1.034485,8.6100,8.6800,431814208.0000,0.718118
2017-07-04,sh.600029,65970496,-0.116136,8.6000,8.6300,561656928.0000,0.939396
2017-07-05,sh.600029,40495754,0.581386,8.6500,8.6700,348405344.0000,0.576645
2017-07-06,sh.600029,33355148,-0.115599,8.6400,8.7100,287906032.0000,0.474965
2017-07-07,sh.600029,35797430,-0.694449,8.5800,8.6800,307207232.0000,0.509742
2017-07-10,sh.600029,49286075,-2.447553,8.3700,8.6000,417488736.0000,0.701816
2017-07-11,sh.600029,39996045,0.119477,8.3800,8.4300,334561984.0000,0.569529
2017-07-12,sh.600029,40339300,-0.954653,8.3000,8.3700,333352256.0000,0.574417
2017-07-13,sh.600029,32723896,1.445782,8.4200,8.4200,273940784.0000,0.465976
2017-07-14,sh.600029,50845851,1.543944,8.5500,8.6600,434602688.0000,0.724027
2017-07-17,sh.600029,53012623,-0.116962,8.5400,8.6300,449496064.0000,0.754881
2017-07-18,sh.600029,37372597,0.585482,8.5900,8.6300,319920320.0000,0.532172
