date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sh.603160,804465,-1.935697,88.1500,89.4100,71284761.0000,1.787700
2017-06-02,sh.603160,853373,2.563814,90.4100,91.2000,76361020.0000,1.896384
2017-06-05,sh.603160,1155404,1.968807,92.1900,93.2000,106556477.0000,2.567564
2017-06-06,sh.603160,625300,0.151860,92.3300,92.7500,57758060.0000,1.389556
2017-06-07,sh.603160,1819823,3.303363,95.3800,95.8700,172083465.0000,4.044051
2017-06-08,sh.603160,1054512,-0.786328,94.6300,95.5300,99823900.0000,2.343360
2017-06-09,sh.603160,1387462,-0.443832,94.2100,95.5200,131135248.0000,3.083249
2017-06-12,sh.603160,1335942,-3.555884,90.8600,93.2900,123024530.0000,2.968760
2017-06-13,sh.603160,919916,2.674445,93.2900,94.3000,85383882.0000,2.044258
2017-06-14,sh.603160,691113,0.171504,93.4500,93.9800,64454813.0000,1.535807
2017-06-15,sh.603160,1222277,1.936870,95.2600,95.5800,116252412.0000,2.716171
2017-06-16,sh.603160,907767,0.419905,95.6600,96.0000,86308406.0000,2.017260
2017-06-19,sh.603160,864199,0.229974,95.8800,96.0000,82640632.0000,1.920442
2017-06-20,sh.603160,906557,-1.209842,94.7200,96.5000,86403292.0000,2.014571
2017-06-21,sh.603160,599003,0.242816,94.9500,95.2700,56720565.0000,1.331118
2017-06-22,sh.603160,3721224,4.044238,98.7900,102.0000,369627520.0000,8.269387
2017-06-23,sh.603160,1689198,0.971757,99.7500,99.9500,166418386.0000,3.753773
2017-06-26,sh.603160,2049217,0.200498,99.9500,102.4700,206897169.0000,4.553816
2017-06-27,sh.603160,2790333,3.181591,103.1300,103.9900,287281696.0000,6.200740
2017-06-28,sh.603160,2935015,-4.159799,98.8400,104.4900,296203744.0000,6.522256
2017-06-29,sh.603160,1435954,0.151762,98.9900,100.8000,142969918.0000,3.191009
2017-06-30,sh.603160,1573208,1.323371,100.3000,100.8000,155763815.0000,3.496018
2017-07-03,sh.603160,2424013,3.868392,104.1800,104.5200,250211269.0000,5.386696
2017-07-04,sh.603160,2489718,0.451143,104.6500,105.8500,260695734.0000,5.532707
2017-07-05,sh.603160,1815171,-0.630677,103.9900,104.9000,188015032.0000,4.033713
2017-07-06,sh.603160,1598596,-0.105780,103.8800,104.4500,165503933.0000,3.552436
