date,code,volume,pctChg,close
2017-07-31,sh.603233,25528,44.012940,35.6000
2017-08-01,sh.603233,13700,10.000000,39.1600
2017-08-02,sh.603233,421796,10.010220,43.0800
2017-08-03,sh.603233,18957276,1.903435,43.9000
2017-08-04,sh.603233,10746520,-4.669711,41.8500
2017-08-07,sh.603233,7848904,1.051380,42.2900
2017-08-08,sh.603233,8436415,-6.077086,39.7200
2017-08-09,sh.603233,5681904,-3.726081,38.2400
2017-08-10,sh.603233,3787016,-0.862975,37.9100
2017-08-11,sh.603233,4190858,-4.220518,36.3100
2017-08-14,sh.603233,2859256,0.578350,36.5200
2017-08-15,sh.603233,4576285,2.957278,37.6000
2017-08-16,sh.603233,3265385,0.425532,37.7600
2017-08-17,sh.603233,2613226,-1.297664,37.2700
2017-08-18,sh.603233,1960570,-1.502553,36.7100
2017-08-21,sh.603233,2204699,2.097522,37.4800
2017-08-22,sh.603233,5105306,4.002134,38.9800
2017-08-23,sh.603233,3485112,-0.923552,38.6200
2017-08-24,sh.603233,4950027,0.181252,38.6900
2017-08-25,sh.603233,5164334,2.739730,39.7500
2017-08-28,sh.603233,6287485,3.094338,40.9800
2017-08-29,sh.603233,9451707,1.073691,41.4200
2017-08-30,sh.603233,5054407,-3.862864,39.8200
2017-08-31,sh.603233,4231173,3.591161,41.2500
2017-09-01,sh.603233,4025489,-1.478789,40.6400
2017-09-04,sh.603233,3233541,-2.903544,39.4600
2017-09-05,sh.603233,2413922,1.647242,40.1100
2017-09-06,sh.603233,2031772,-0.897533,39.7500
2017-09-07,sh.603233,1901806,0.050316,39.7700
2017-09-08,sh.603233,4110395,3.319084,41.0900
2017-09-11,sh.603233,3265344,2.190318,41.9900
2017-09-12,sh.603233,2173772,-2.476782,40.9500
2017-09-13,sh.603233,1182247,-0.293038,40.8300
2017-09-14,sh.603233,1205858,-0.440853,40.6500
2017-09-15,sh.603233,1059717,-1.303819,40.1200
2017-09-18,sh.603233,795276,-0.398803,39.9600
2017-09-19,sh.603233,1326235,0.200205,40.0400
2017-09-20,sh.603233,2555935,3.971030,41.6300
2017-09-21,sh.603233,1754073,-1.201057,41.1300
2017-09-22,sh.603233,2567125,1.750541,41.8500
2017-09-25,sh.603233,2312612,0.167263,41.9200
2017-09-26,sh.603233,1932840,-3.912212,40.2800
2017-09-27,sh.603233,1092070,0.769616,40.5900
2017-09-28,sh.603233,978686,-1.453560,40.0000
2017-09-29,sh.603233,1599425,-1.125002,39.5500
2017-10-09,sh.603233,685898,1.694063,40.2200
2017-10-10,sh.603233,1810700,3.605164,41.6700
2017-10-11,sh.603233,1825802,0.815935,42.0100
2017-10-12,sh.603233,5989930,9.997622,46.2100
2017-10-13,sh.603233,7054343,-1.320062,45.6000
2017-10-16,sh.603233,4016782,-4.583334,43.5100
2017-10-17,sh.603233,3074112,-0.919324,43.1100
2017-10-18,sh.603233,2688838,0.023193,43.1200
2017-10-19,sh.603233,1909996,-2.064006,42.2300
2017-10-20,sh.603233,1469736,0.591996,42.4800
2017-10-23,sh.603233,2558795,3.436909,43.9400
2017-10-24,sh.603233,1903602,-1.228942,43.4000
2017-10-25,sh.603233,1935686,1.728111,44.1500
2017-10-26,sh.603233,2301138,-1.245760,43.6000
2017-10-27,sh.603233,5752371,10.000000,47.9600
2017-10-30,sh.603233,8781101,2.564636,49.1900
2017-10-31,sh.603233,7244629,4.208172,51.2600
2017-11-01,sh.603233,5730526,1.170508,51.8600
2017-11-02,sh.603233,5748146,-5.977636,48.7600
2017-11-03,sh.603233,6890965,6.480722,51.9200
2017-11-06,sh.603233,6378048,2.657938,53.3000
2017-11-07,sh.603233,6490447,-0.637899,52.9600
