date,code,volume,pctChg,close
2017-06-01,sh.600219,68013098,-0.624999,3.1800
2017-06-02,sh.600219,39856401,0.000000,3.1800
2017-06-05,sh.600219,34497844,0.314465,3.1900
2017-06-06,sh.600219,24577393,0.000000,3.1900
2017-06-07,sh.600219,49527309,1.567397,3.2400
2017-06-08,sh.600219,28853088,-0.617283,3.2200
2017-06-09,sh.600219,36989530,-0.310559,3.2100
2017-06-12,sh.600219,32915775,-0.934579,3.1800
2017-06-13,sh.600219,65055329,1.572325,3.2300
2017-06-14,sh.600219,46508065,-0.309597,3.2200
2017-06-15,sh.600219,31011222,0.621117,3.2400
2017-06-16,sh.600219,35035658,-0.308642,3.2300
2017-06-19,sh.600219,34246653,0.309597,3.2400
2017-06-20,sh.600219,149235213,3.086417,3.3400
2017-06-21,sh.600219,66093404,-0.299401,3.3300
2017-06-22,sh.600219,53894919,0.300300,3.3400
2017-06-23,sh.600219,72558805,-0.299401,3.3300
2017-06-26,sh.600219,62516758,1.201200,3.3700
2017-06-27,sh.600219,41813011,-0.593471,3.3500
2017-06-28,sh.600219,42974480,0.298507,3.3600
2017-06-29,sh.600219,57991827,0.892863,3.3900
2017-06-30,sh.600219,48022486,0.000000,3.3900
2017-07-03,sh.600219,47909066,0.884955,3.4200
2017-07-04,sh.600219,67477887,0.292397,3.4300
2017-07-05,sh.600219,84680597,0.887573,3.4100
2017-07-06,sh.600219,76914438,-0.293255,3.4000
2017-07-07,sh.600219,108029915,1.764704,3.4600
2017-07-10,sh.600219,91194502,-1.156068,3.4200
2017-07-11,sh.600219,82898419,-1.169590,3.3800
2017-07-12,sh.600219,64479812,0.000000,3.3800
2017-07-13,sh.600219,74996306,0.591715,3.4000
2017-07-14,sh.600219,63162952,0.294117,3.4100
2017-07-17,sh.600219,216602657,1.466274,3.4600
2017-07-18,sh.600219,141958273,0.000000,3.4600
2017-07-19,sh.600219,340038384,5.491331,3.6500
2017-07-20,sh.600219,181718508,-1.917813,3.5800
2017-07-21,sh.600219,108550624,-0.837988,3.5500
2017-07-24,sh.600219,100138023,0.000000,3.5500
2017-07-25,sh.600219,104338060,0.563380,3.5700
2017-07-26,sh.600219,150730191,-0.840335,3.5400
2017-07-27,sh.600219,137987691,-1.129943,3.5000
2017-07-28,sh.600219,74809248,-0.285714,3.4900
2017-07-31,sh.600219,277712176,5.157595,3.6700
2017-08-01,sh.600219,166614707,-1.907362,3.6000
2017-08-02,sh.600219,460034656,4.166669,3.7500
