date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sz.000876,16636020,-1.125002,7.9100,7.9900,132046018.0000,0.481267
2017-06-02,sz.000876,14161974,0.000000,7.9100,7.9500,111980526.0000,0.409695
2017-06-05,sz.000876,14413866,-0.632108,7.8600,7.9300,113464187.0000,0.416982
2017-06-06,sz.000876,9278835,0.254453,7.8800,7.8800,72916592.0000,0.268429
2017-06-07,sz.000876,17829175,0.761421,7.9400,7.9500,141101217.0000,0.515784
2017-06-08,sz.000876,16672595,0.377830,7.9700,7.9900,132794613.0000,0.482325
2017-06-09,sz.000876,14587252,-0.125467,7.9600,8.0000,116217786.0000,0.421998
2017-06-12,sz.000876,35063990,1.381905,8.0700,8.1500,283002112.0000,1.014374
2017-06-13,sz.000876,22871727,-0.123907,8.0600,8.0800,183641993.0000,0.661661
2017-06-14,sz.000876,16711803,-0.744422,8.0000,8.0600,133787466.0000,0.483459
2017-06-15,sz.000876,13798841,0.125003,8.0100,8.0300,110382214.0000,0.399190
2017-06-16,sz.000876,11028072,-0.374534,7.9800,8.0200,88037947.0000,0.319034
2017-06-19,sz.000876,12301630,0.501259,8.0200,8.0200,98276715.0000,0.355877
2017-06-20,sz.000876,11253400,-0.249382,8.0000,8.0400,90170344.0000,0.325552
2017-06-21,sz.000876,17462655,0.874996,8.0700,8.0700,140373532.0000,0.505181
2017-06-22,sz.000876,30141387,0.247837,8.0900,8.1900,244894645.0000,0.871967
2017-06-23,sz.000876,20811763,-0.247225,8.0700,8.1200,167610706.0000,0.602068
2017-06-26,sz.000876,44224089,2.354406,8.2600,8.2800,362879216.0000,1.279368
2017-06-27,sz.000876,24520967,-0.242136,8.2400,8.2800,201805644.0000,0.709372
2017-06-28,sz.000876,19817118,0.000000,8.2400,8.2800,163358043.0000,0.573294
2017-06-29,sz.000876,16477633,-0.242712,8.2200,8.2700,135306116.0000,0.476685
2017-06-30,sz.000876,17362542,0.000000,8.2200,8.2400,142419450.0000,0.502285
2017-07-03,sz.000876,30238438,1.094892,8.3100,8.3200,249963804.0000,0.874774
2017-07-04,sz.000876,37419615,-1.684721,8.1700,8.3000,306948848.0000,1.082520
2017-07-05,sz.000876,15820445,0.489596,8.2100,8.2300,129678080.0000,0.457673
2017-07-06,sz.000876,30675586,0.852615,8.2800,8.3000,252227778.0000,0.887421
2017-07-07,sz.000876,18576748,0.000000,8.2800,8.3000,153464252.0000,0.537411
2017-07-10,sz.000876,19319006,-0.241540,8.2600,8.3400,160037013.0000,0.558884
2017-07-11,sz.000876,42635995,0.605329,8.3100,8.4100,355606624.0000,1.233426
2017-07-12,sz.000876,30830053,0.120328,8.3200,8.3800,256133936.0000,0.891889
2017-07-13,sz.000876,22311854,0.480769,8.3600,8.3700,186199099.0000,0.645465
2017-07-14,sz.000876,28475464,-1.076545,8.2700,8.3700,235484160.0000,0.823773
2017-07-17,sz.000876,37563328,-1.934713,8.1100,8.2700,305321088.0000,1.086678
2017-07-18,sz.000876,17113871,0.123307,8.1200,8.1300,138521437.0000,0.495091
2017-07-19,sz.000876,24669117,0.738922,8.1800,8.2000,200838767.0000,0.713658
2017-07-20,sz.000876,18040538,0.122241,8.1900,8.2000,147509372.0000,0.521899
2017-07-21,sz.000876,15034243,0.000000,8.1900,8.2100,123053411.0000,0.434929
2017-07-24,sz.000876,26588803,1.343109,8.3000,8.3300,219333602.0000,0.769193
2017-07-25,sz.000876,12974779,-0.361443,8.2700,8.3000,107112184.0000,0.375350
2017-07-26,sz.000876,17928301,-0.967362,8.1900,8.2800,147027332.0000,0.518652
2017-07-27,sz.000876,16827318,-0.122091,8.1800,8.2100,137607162.0000,0.486801
2017-07-28,sz.000876,17634804,0.611238,8.2300,8.2400,144766839.0000,0.510161
2017-07-31,sz.000876,36776510,0.972064,8.3100,8.3500,305161712.0000,1.063916
2017-08-01,sz.000876,23287016,-0.481347,8.2700,8.3300,193084984.0000,0.673675
2017-08-02,sz.000876,49173794,0.846429,8.3400,8.4400,411160320.0000,1.422560
2017-08-03,sz.000876,25111967,0.599523,8.3900,8.4000,209740848.0000,0.726470
2017-08-04,sz.000876,35575118,0.000000,8.3900,8.4900,299918432.0000,1.029160
2017-08-07,sz.000876,31208896,-0.595950,8.3400,8.4400,260729471.0000,0.902849
2017-08-08,sz.000876,96220761,3.443871,8.1100,8.2400,769861520.0000,2.783592
2017-08-09,sz.000876,62968629,-2.466089,7.9100,8.1300,499724864.0000,1.821633
2017-08-10,sz.000876,45601601,-2.528443,7.7100,7.8900,354377312.0000,1.319219
2017-08-11,sz.000876,29876844,-1.167317,7.6200,7.7300,228327798.0000,0.864314
2017-08-14,sz.000876,20395664,0.918637,7.6900,7.7100,156468536.0000,0.590031
2017-08-15,sz.000876,21931317,-0.650198,7.6400,7.7100,167824777.0000,0.634456
2017-08-16,sz.000876,21261595,-0.523560,7.6000,7.6500,161614937.0000,0.615081
2017-08-17,sz.000876,28050060,0.263158,7.6200,7.6200,212489250.0000,0.811466
2017-08-18,sz.000876,17102638,-0.656164,7.5700,7.6000,129534182.0000,0.494766
2017-08-21,sz.000876,16953900,0.396298,7.6000,7.6100,128610615.0000,0.490463
2017-08-22,sz.000876,27996671,-0.263158,7.5800,7.6300,212743765.0000,0.809922
2017-08-23,sz.000876,22810528,0.395781,7.6100,7.6400,173378908.0000,0.659891
2017-08-24,sz.000876,23171300,-1.182656,7.5200,7.6200,175226557.0000,0.670328
2017-08-25,sz.000876,16805425,0.797872,7.5800,7.5900,127009362.0000,0.486168
2017-08-28,sz.000876,27991690,0.659633,7.6300,7.6500,213411791.0000,0.809778
2017-08-29,sz.000876,16697274,-0.393188,7.6000,7.6500,127063707.0000,0.483039
2017-08-30,sz.000876,26899446,-0.526315,7.5600,7.5700,202916450.0000,0.778180
2017-08-31,sz.000876,15793127,-0.132272,7.5500,7.5800,119217330.0000,0.456883
2017-09-01,sz.000876,23741796,0.000000,7.5500,7.5700,178876400.0000,0.686832
2017-09-04,sz.000876,20021151,0.264900,7.5700,7.5800,151341225.0000,0.579196
2017-09-05,sz.000876,15225160,-0.132103,7.5600,7.5800,115055719.0000,0.440452
2017-09-06,sz.000876,21823094,0.396828,7.5900,7.6000,164977987.0000,0.631325
2017-09-07,sz.000876,15924358,-0.527009,7.5500,7.6000,120463444.0000,0.460679
2017-09-08,sz.000876,14363834,-0.132453,7.5400,7.5800,108481413.0000,0.415535
2017-09-11,sz.000876,15080140,0.132629,7.5500,7.5600,113685559.0000,0.436257
2017-09-12,sz.000876,24624900,-0.662254,7.5000,7.5600,185181705.0000,0.712379
2017-09-13,sz.000876,13881547,0.133336,7.5100,7.5100,104028761.0900,0.401582
2017-09-14,sz.000876,16499600,-0.399470,7.4800,7.5200,123529042.9500,0.477321
2017-09-15,sz.000876,16168395,0.000000,7.4800,7.5000,120795722.6600,0.467739
2017-09-18,sz.000876,11281647,0.267379,7.5000,7.5100,84480072.3500,0.326369
