date,code,volume,pctChg,close
2017-06-01,sz.002120,1291066,-0.220213,45.3100
2017-06-02,sz.002120,1111782,2.383575,46.3900
2017-06-05,sz.002120,1313862,1.336493,47.0100
2017-06-06,sz.002120,884251,-1.063604,46.5100
2017-06-07,sz.002120,1772177,0.236510,46.6200
2017-06-08,sz.002120,1022218,-0.128695,46.5600
2017-06-09,sz.002120,1290703,0.085904,46.6000
2017-06-12,sz.002120,820967,0.021464,46.6100
2017-06-13,sz.002120,900678,1.265823,47.2000
2017-06-14,sz.002120,418907,-0.826270,46.8100
2017-06-15,sz.002120,1872575,5.063018,49.1800
2017-06-16,sz.002120,712115,-0.020338,49.1700
2017-06-19,sz.002120,1846480,4.942039,51.6000
2017-06-20,sz.002120,1220645,-0.038753,51.5800
2017-06-21,sz.002120,1003109,-2.636682,50.2200
2017-06-22,sz.002120,780106,-2.011155,49.2100
2017-06-23,sz.002120,644680,-0.060961,49.1800
2017-06-26,sz.002120,849235,0.833672,49.5900
2017-06-27,sz.002120,1038906,1.996374,50.5800
2017-06-28,sz.002120,574865,-2.095693,49.5200
2017-06-29,sz.002120,524880,3.008881,51.0100
2017-06-30,sz.002120,720387,1.156636,51.6000
2017-07-03,sz.002120,650857,-1.395344,50.8800
2017-07-04,sz.002120,1157858,2.790877,52.3000
2017-07-05,sz.002120,695692,-0.210326,52.1900
2017-07-06,sz.002120,797057,-1.728111,42.6500
2017-07-07,sz.002120,701089,-1.547479,41.9900
2017-07-10,sz.002120,703031,-0.952611,41.5900
2017-07-11,sz.002120,568427,-0.817504,41.2500
2017-07-12,sz.002120,646813,0.096972,41.2900
2017-07-13,sz.002120,825511,-3.100030,40.0100
2017-07-14,sz.002120,855849,1.224698,40.5000
2017-07-17,sz.002120,966890,-1.728397,39.8000
2017-07-18,sz.002120,675170,1.507543,40.4000
2017-07-19,sz.002120,627286,-0.618812,40.1500
2017-07-20,sz.002120,540539,-0.597762,39.9100
2017-07-21,sz.002120,648044,0.025052,39.9200
2017-07-24,sz.002120,396004,-0.325644,39.7900
2017-07-25,sz.002120,390419,0.226188,39.8800
2017-07-26,sz.002120,466686,1.529590,40.4900
2017-07-27,sz.002120,442281,-0.024703,40.4800
2017-07-28,sz.002120,532791,0.049408,40.5000
2017-07-31,sz.002120,732264,-1.629629,39.8400
2017-08-01,sz.002120,547058,-0.702808,39.5600
2017-08-02,sz.002120,1353023,-1.718909,38.8800
2017-08-03,sz.002120,570456,-0.437248,38.7100
2017-08-04,sz.002120,720087,0.749163,39.0000
2017-08-07,sz.002120,913125,-0.897432,38.6500
2017-08-08,sz.002120,1122188,0.905559,39.0000
2017-08-09,sz.002120,340433,-0.410256,38.8400
