date,code,volume,pctChg,close,high,amount,turn
2017-07-07,sh.600674,14748497,1.516680,10.0400,10.0500,146929694.0000,0.335030
2017-07-10,sh.600674,14059030,-0.896416,9.9500,10.0400,140088594.0000,0.319368
2017-07-11,sh.600674,11750372,0.201010,9.9700,10.0000,116986830.0000,0.266924
2017-07-12,sh.600674,12529732,-0.401203,9.9300,10.0500,124651877.0000,0.284628
2017-07-13,sh.600674,15312001,-0.302122,9.9000,9.9600,151600207.0000,0.347831
2017-07-14,sh.600674,11426487,1.041661,9.7000,9.7300,110485982.0000,0.259567
2017-07-17,sh.600674,18411436,-1.649483,9.5400,9.7400,176664971.0000,0.418238
2017-07-18,sh.600674,10602777,0.628935,9.6000,9.6400,101340073.0000,0.240855
2017-07-19,sh.600674,19343660,0.624994,9.6600,9.7300,187027527.0000,0.439415
2017-07-20,sh.600674,22333037,1.966879,9.8500,9.8800,217324528.0000,0.507322
2017-07-21,sh.600674,25302527,1.624364,10.0100,10.0800,252665881.0000,0.574778
2017-07-24,sh.600674,26319380,2.197795,10.2300,10.3900,268363928.0000,0.597877
2017-07-25,sh.600674,14572858,-1.564026,10.0700,10.2200,147478725.0000,0.331040
2017-07-26,sh.600674,10474125,-0.099298,10.0600,10.1500,105474974.0000,0.237933
2017-07-27,sh.600674,18344514,-0.894634,9.9700,10.0900,182716328.0000,0.416718
2017-07-28,sh.600674,14351660,1.103306,10.0800,10.1600,143998519.0000,0.326015
2017-07-31,sh.600674,12923153,-0.793650,10.0000,10.0900,129457903.0000,0.293565
2017-08-01,sh.600674,10423366,1.199999,10.1200,10.1200,104708062.0000,0.236779
2017-08-02,sh.600674,12277855,-1.185770,10.0000,10.2200,123975220.0000,0.278906
2017-08-03,sh.600674,12586058,-0.500002,9.9500,10.0500,125613919.0000,0.285908
2017-08-04,sh.600674,12040660,-0.703515,9.8800,9.9900,119232162.0000,0.273518
2017-08-07,sh.600674,25548700,-1.417007,9.7400,9.9000,249305711.0000,0.580370
2017-08-08,sh.600674,11157527,0.718692,9.8100,9.8200,108782925.0000,0.253457
2017-08-09,sh.600674,13510868,-0.407747,9.7700,9.8000,131367021.0000,0.306916
2017-08-10,sh.600674,16171858,1.842368,9.9500,9.9800,159080411.0000,0.367364
2017-08-11,sh.600674,15712971,-1.809039,9.7700,9.9300,154691296.0000,0.356939
2017-08-14,sh.600674,16623615,-0.307069,9.7400,9.8000,162144780.0000,0.377626
2017-08-15,sh.600674,9008041,1.129370,9.8500,9.8600,88540894.0000,0.204629
2017-08-16,sh.600674,8637682,-0.507616,9.8000,9.8700,84593438.0000,0.196216
2017-08-17,sh.600674,9448032,0.102043,9.8100,9.8200,92452592.0000,0.214624
2017-08-18,sh.600674,6197456,-0.101939,9.8000,9.8400,60694258.0000,0.140783
2017-08-21,sh.600674,6000726,0.102043,9.8100,9.8500,58922444.0000,0.136314
