date,code,volume,pctChg,close
2017-06-01,sz.000703,9089952,-5.274411,13.2900
2017-06-02,sz.000703,3582611,1.580136,13.5000
2017-06-05,sz.000703,2561398,-1.185184,13.3400
2017-06-06,sz.000703,2825216,0.299850,13.3800
2017-06-07,sz.000703,3527670,1.644247,13.6000
2017-06-08,sz.000703,4202020,-2.352946,13.2800
2017-06-09,sz.000703,4782893,-0.828311,13.1700
2017-06-12,sz.000703,3735495,-0.911161,13.0500
2017-06-13,sz.000703,3021932,1.149422,13.2000
2017-06-14,sz.000703,3927261,0.833338,13.3100
2017-06-15,sz.000703,2798839,-0.525925,13.2400
2017-06-16,sz.000703,2757665,-1.283989,13.0700
2017-06-19,sz.000703,2252150,0.000000,13.0700
2017-06-20,sz.000703,1830618,0.076513,13.0800
2017-06-21,sz.000703,5536773,3.516820,13.5400
2017-06-22,sz.000703,5098048,-0.295421,13.5000
2017-06-23,sz.000703,4309075,2.074072,13.7800
2017-06-26,sz.000703,3327410,0.580551,13.8600
2017-06-27,sz.000703,4118715,-0.360745,13.8100
2017-06-28,sz.000703,5131441,1.303399,13.9900
2017-06-29,sz.000703,3841740,0.142962,14.0100
2017-06-30,sz.000703,3800319,1.641681,14.2400
2017-07-03,sz.000703,10662922,4.564611,14.8900
2017-07-04,sz.000703,9269027,0.873070,15.0200
2017-07-05,sz.000703,7257015,0.066573,15.0300
2017-07-06,sz.000703,6174493,0.998008,15.1800
2017-07-07,sz.000703,8290295,3.425557,15.7000
2017-07-10,sz.000703,13772525,1.273884,15.9000
2017-07-11,sz.000703,10664887,0.628933,16.0000
2017-07-12,sz.000703,10297593,0.437498,16.0700
2017-07-13,sz.000703,9007908,0.497822,16.1500
2017-07-14,sz.000703,8717165,1.671829,16.4200
2017-07-17,sz.000703,12266788,-0.243611,16.3800
2017-07-18,sz.000703,10069998,0.000000,16.3800
2017-07-19,sz.000703,9768262,0.244206,16.4200
2017-07-20,sz.000703,14602350,2.801456,16.8800
2017-07-21,sz.000703,19071243,0.236972,16.9200
2017-07-24,sz.000703,11927979,-4.018914,16.2400
2017-07-25,sz.000703,6619854,0.369455,16.3000
2017-07-26,sz.000703,6721171,0.122702,16.3200
2017-07-27,sz.000703,7792853,-3.308823,15.7800
2017-07-28,sz.000703,6705029,1.901142,16.0800
2017-07-31,sz.000703,10177288,4.477608,16.8000
2017-08-01,sz.000703,9519113,-2.797615,16.3300
2017-08-02,sz.000703,8549381,1.653402,16.6000
2017-08-03,sz.000703,6557202,0.060242,16.6100
2017-08-04,sz.000703,6199698,-1.264305,16.4000
2017-08-07,sz.000703,4402548,-1.158540,16.2100
