date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sh.600188,5624184,-0.668583,10.4000,10.5700,58872818.0000,0.190017
2017-06-02,sh.600188,9201194,3.846159,10.8000,10.8800,98297778.0000,0.310869
2017-06-05,sh.600188,7311225,1.018515,10.9100,11.0500,79961883.0000,0.247015
2017-06-06,sh.600188,5469272,0.549958,10.9700,11.0300,59848601.0000,0.184783
2017-06-07,sh.600188,7450287,1.002732,11.0800,11.1400,82319387.0000,0.251713
2017-06-08,sh.600188,5217388,-0.631766,11.0100,11.1100,57374268.0000,0.176273
2017-06-09,sh.600188,5755936,-0.544963,10.9500,11.0400,63010710.0000,0.194468
2017-06-12,sh.600188,8326269,1.735165,11.1400,11.2800,92444961.0000,0.281309
2017-06-13,sh.600188,19217195,5.206462,11.7200,11.9700,223476323.0000,0.649267
2017-06-14,sh.600188,10377856,-0.170652,11.7000,11.8500,121191269.0000,0.350623
2017-06-15,sh.600188,4992583,-0.598288,11.6300,11.7500,58170095.0000,0.168678
2017-06-16,sh.600188,6515101,-0.257951,11.6000,11.8500,76371528.0000,0.220117
2017-06-19,sh.600188,10567450,1.465518,11.7700,11.9400,124438809.0000,0.357029
2017-06-20,sh.600188,6955419,0.084956,11.7800,11.8500,81667599.0000,0.234994
2017-06-21,sh.600188,4438292,-0.339558,11.7400,11.8100,51877550.0000,0.149951
2017-06-22,sh.600188,10737085,-1.107326,11.6100,12.0500,127511098.0000,0.362760
2017-06-23,sh.600188,9387634,2.239451,11.8700,11.9200,110013053.0000,0.317168
2017-06-26,sh.600188,22505233,3.875316,12.3300,12.4200,272987280.0000,0.760356
2017-06-27,sh.600188,15968358,-0.243307,12.3000,12.4700,197121676.0000,0.539503
2017-06-28,sh.600188,9514457,0.243900,12.3300,12.4100,116855213.0000,0.321453
2017-06-29,sh.600188,12803612,0.405517,12.3800,12.7000,160104277.0000,0.432579
2017-06-30,sh.600188,9477629,-1.130859,12.2400,12.4200,116060755.0000,0.320204
2017-07-03,sh.600188,15872694,2.287587,12.5200,12.6200,197402465.0000,0.536263
2017-07-04,sh.600188,11743820,-1.837065,12.2900,12.5100,144363809.0000,0.396768
2017-07-05,sh.600188,16959995,2.359642,12.5800,12.7400,212714830.0000,0.572998
2017-07-06,sh.600188,31478417,3.338634,13.0000,13.3100,408133888.0000,1.063507
2017-07-07,sh.600188,24274622,1.923077,13.2500,13.3200,315931008.0000,0.820125
2017-07-10,sh.600188,21646245,-0.981133,13.1200,13.5300,286289744.0000,0.731324
2017-07-11,sh.600188,17512361,-3.353655,12.6800,13.2100,225203658.0000,0.591660
2017-07-12,sh.600188,16754080,2.839114,13.0400,13.0800,213604907.0000,0.566041
2017-07-13,sh.600188,18772746,-0.306748,13.0000,13.3100,246029804.0000,0.634242
2017-07-14,sh.600188,11953683,1.086959,13.0200,13.1100,155098754.0000,0.403858
2017-07-17,sh.600188,33355671,1.459290,13.2100,13.5600,439881120.0000,1.126930
2017-07-18,sh.600188,26212411,3.482211,13.6700,13.7900,352610848.0000,0.885593
2017-07-19,sh.600188,46565717,5.559621,14.4300,14.5500,660441888.0000,1.573235
2017-07-20,sh.600188,24689136,-0.623702,14.3400,14.4000,350960560.0000,0.834129
2017-07-21,sh.600188,29169315,1.534172,14.5600,14.9600,424739824.0000,0.985493
2017-07-24,sh.600188,34615501,-3.777474,14.0100,14.6900,489401680.0000,1.169494
2017-07-25,sh.600188,20378613,0.356889,14.0600,14.1900,284387168.0000,0.688497
2017-07-26,sh.600188,21944623,-0.782366,13.9500,14.1000,306489568.0000,0.741405
2017-07-27,sh.600188,37961852,-5.232972,13.2200,13.9500,509968384.0000,1.282552
2017-07-28,sh.600188,20464573,0.983359,13.3500,13.4500,272513088.0000,0.691401
2017-07-31,sh.600188,47204032,6.816478,14.2600,14.5500,658962688.0000,1.594801
2017-08-01,sh.600188,32740846,-3.436183,13.7700,14.2400,450308592.0000,1.106158
2017-08-02,sh.600188,41968378,-0.435733,13.7100,14.3900,585929632.0000,1.417913
2017-08-03,sh.600188,25472036,0.583515,13.7900,13.8200,346141424.0000,0.860580
2017-08-04,sh.600188,46054769,-0.145029,13.7700,14.4800,649191520.0000,1.555973
2017-08-07,sh.600188,33963632,0.508349,13.8400,13.9000,458195952.0000,1.147471
2017-08-08,sh.600188,30737310,-1.950870,13.5700,14.0900,426019520.0000,1.038468
2017-08-09,sh.600188,48976960,4.789982,14.2200,14.2800,681930624.0000,1.654700
2017-08-10,sh.600188,33185708,-3.164556,13.7700,14.0800,456644352.0000,1.121188
2017-08-11,sh.600188,38608437,-8.932466,12.5400,13.7500,502011904.0000,1.304397
2017-08-14,sh.600188,18984477,0.558211,12.6100,12.7500,238943490.0000,0.641396
2017-08-15,sh.600188,15489842,-0.872321,12.5000,12.6500,193613702.0000,0.523329
2017-08-16,sh.600188,15142528,-0.800003,12.4000,12.6300,187524031.0000,0.511594
2017-08-17,sh.600188,20787748,2.741937,12.7400,12.7900,263388032.0000,0.702320
