date,code,volume,pctChg,close,high,amount,turn
2017-07-27,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-07-28,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-07-31,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-01,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-02,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-03,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-04,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-07,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-08,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-09,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-10,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-11,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-14,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-15,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-16,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-17,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-18,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-21,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-22,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-23,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-24,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-25,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-28,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-29,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-30,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-08-31,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-01,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-04,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-05,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-06,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-07,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-08,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-11,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-12,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-13,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-14,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-15,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-18,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-19,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-20,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-21,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-22,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-25,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-26,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-27,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-28,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-09-29,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-09,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-10,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-11,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-12,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-13,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-16,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-17,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-18,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-19,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-20,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-23,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-24,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-25,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-26,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-27,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-30,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-10-31,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-01,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-02,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-03,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-06,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-07,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-08,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-09,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-10,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-13,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-14,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-15,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-16,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-17,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-20,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-21,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-22,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-23,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-24,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-27,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-28,sz.002129,0,0.000000,8.2400,8.2400,0.0000,
2017-11-29,sz.002129,7611343,9.951464,9.0600,9.0600,68958767.5800,0.287847
2017-11-30,sz.002129,8052806,10.044150,9.9700,9.9700,80286475.8200,0.304542
2017-12-01,sz.002129,342505904,10.030090,10.9700,10.9700,3555696254.2800,12.952923
2017-12-04,sz.002129,243900795,-3.828624,10.5500,11.2500,2649487292.5300,9.223865
2017-12-05,sz.002129,203191474,2.085311,10.7700,11.1000,2191145711.0700,7.684316
2017-12-06,sz.002129,198302844,4.178271,11.2200,11.2200,2145953573.3900,7.499437
