date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sh.600893,9278037,-2.280128,24.0000,24.5600,224788488.0000,0.678467
2017-06-02,sh.600893,12696932,-0.208330,23.9500,24.0900,298196752.0000,0.928477
2017-06-05,sh.600893,8232694,0.835068,24.1500,24.2500,198559455.0000,0.602025
2017-06-06,sh.600893,20069859,4.968947,25.3500,25.6700,506081456.0000,1.467630
2017-06-07,sh.600893,17040257,2.958580,26.1000,26.1600,441351488.0000,1.246087
2017-06-08,sh.600893,15876104,1.149422,26.4000,27.1800,420444272.0000,1.160958
2017-06-09,sh.600893,13913972,1.628789,26.8300,27.0500,370745104.0000,1.017474
2017-06-12,sh.600893,13489392,0.633619,27.0000,27.1800,360818320.0000,0.986427
2017-06-13,sh.600893,9272259,-1.074077,26.7100,27.0300,247104921.0000,0.678044
2017-06-14,sh.600893,11268407,0.411833,26.8200,27.2600,304127136.0000,0.824015
2017-06-15,sh.600893,9005252,1.006713,27.0900,27.3500,243882687.0000,0.658519
2017-06-16,sh.600893,9497482,0.775190,27.3000,27.5200,258434082.0000,0.694514
2017-06-19,sh.600893,11216458,3.296709,28.2000,28.4000,313686400.0000,0.820216
2017-06-20,sh.600893,6043143,-0.709223,28.0000,28.3800,169560812.0000,0.441911
2017-06-21,sh.600893,11419154,-0.178569,27.9500,28.7900,323664464.0000,0.835038
2017-06-22,sh.600893,9663868,-1.896246,27.4200,28.0600,267861073.0000,0.706681
2017-06-23,sh.600893,9404534,-0.875273,27.1800,27.7500,254640370.0000,0.687717
2017-06-26,sh.600893,8265847,3.016923,28.0000,28.0200,228598238.0000,0.604449
2017-06-27,sh.600893,10520937,0.857142,28.2400,28.7500,297671680.0000,0.769355
2017-06-28,sh.600893,9570832,-2.939093,27.4100,28.0900,263769644.0000,0.699878
2017-06-29,sh.600893,5150877,0.729664,27.6100,27.7800,141614656.0000,0.376664
2017-06-30,sh.600893,5087755,-1.122787,27.3000,27.4900,138758758.0000,0.261215
2017-07-03,sh.600893,5711271,-0.219778,27.2400,27.3000,153988414.0000,0.293228
2017-07-04,sh.600893,5694176,0.917768,27.4900,27.5400,155330747.0000,0.292350
2017-07-05,sh.600893,4366321,0.145511,27.5300,27.5800,119675681.0000,0.224175
2017-07-06,sh.600893,7790301,-1.053400,27.2400,27.5600,212151506.0000,0.399969
2017-07-07,sh.600893,6804807,0.660794,27.4200,27.8400,186531419.0000,0.349372
2017-07-10,sh.600893,15986632,2.188185,28.0200,28.7400,453054192.0000,0.820784
2017-07-11,sh.600893,11889681,0.892220,28.2700,28.6800,336646976.0000,0.610439
2017-07-12,sh.600893,18869176,4.386274,29.5100,29.5700,540214880.0000,0.968780
2017-07-13,sh.600893,19288606,2.609287,30.2800,30.6800,580700432.0000,0.990314
2017-07-14,sh.600893,11003770,-0.330252,30.1800,30.7500,332921152.0000,0.564955
2017-07-17,sh.600893,16689494,-3.445994,29.1400,30.0000,487953296.0000,0.856870
2017-07-18,sh.600893,13236810,4.255318,30.3800,30.5500,387126480.0000,0.679603
2017-07-19,sh.600893,17320857,1.481240,30.8300,31.4500,533953536.0000,0.889286
2017-07-20,sh.600893,10632464,-1.362310,30.4100,30.9800,325257328.0000,0.545891
2017-07-21,sh.600893,8129210,0.000000,30.4100,30.8300,247360422.0000,0.417369
2017-07-24,sh.600893,13821926,1.183823,30.7700,31.0700,423345696.0000,0.709644
2017-07-25,sh.600893,18442745,-4.452391,29.4000,30.8800,551247872.0000,0.946886
2017-07-26,sh.600893,8773913,0.578232,29.5700,29.8800,258936568.0000,0.450469
2017-07-27,sh.600893,7839983,0.304363,29.6600,29.7500,231383671.0000,0.402520
2017-07-28,sh.600893,7450811,-1.483481,29.2200,29.6600,218643464.0000,0.382539
2017-07-31,sh.600893,8442843,-0.821354,28.9800,29.5300,246052440.0000,0.433472
2017-08-01,sh.600893,10559396,-1.380261,28.5800,29.3000,304811552.0000,0.542140
2017-08-02,sh.600893,9618356,-1.889430,28.0400,28.5700,271352624.0000,0.493825
2017-08-03,sh.600893,6003433,1.034233,28.3300,28.6400,170159953.0000,0.308228
2017-08-04,sh.600893,22819007,6.000709,30.0300,30.5000,679405568.0000,1.171571
2017-08-07,sh.600893,8990246,-1.498504,29.5800,30.0000,265641425.0000,0.461576
2017-08-08,sh.600893,9537648,-0.338068,29.4800,29.9800,281622384.0000,0.489681
2017-08-09,sh.600893,5531765,-0.814110,29.2400,29.5500,162006483.0000,0.284011
2017-08-10,sh.600893,8294918,0.786592,29.4700,29.8700,244386130.0000,0.425877
2017-08-11,sh.600893,12408042,-2.782490,28.6500,29.9400,364762896.0000,0.637053
2017-08-14,sh.600893,6372903,0.802791,28.8800,28.9300,182275564.0000,0.327197
2017-08-15,sh.600893,5205428,0.034627,28.8900,29.3100,150667761.0000,0.267257
2017-08-16,sh.600893,7150478,0.899966,29.1500,29.1800,206679594.0000,0.367119
2017-08-17,sh.600893,11357015,1.578048,29.6100,30.0000,337337648.0000,0.583091
2017-08-18,sh.600893,7978278,0.135086,29.6500,29.9700,236540720.0000,0.409620
2017-08-21,sh.600893,6342005,0.337269,29.7500,29.8800,187850853.0000,0.325611
2017-08-22,sh.600893,7600286,-2.521008,29.0000,29.8900,222608914.0000,0.390213
2017-08-23,sh.600893,5839281,-0.724135,28.7900,29.3100,168704907.0000,0.299800
2017-08-24,sh.600893,3907366,-0.277881,28.7100,29.1400,112783638.0000,0.200612
