date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sz.002594,3864048,-1.043123,49.3300,50.0700,191414290.0000,0.454640
2017-06-02,sz.002594,2527536,0.222981,49.4400,49.7000,124282022.0000,0.297388
2017-06-05,sz.002594,5089493,1.537221,50.2000,50.2000,254333825.0000,0.598825
2017-06-06,sz.002594,2695788,-0.398408,50.0000,50.3000,134786202.0000,0.317184
2017-06-07,sz.002594,4636020,1.000000,50.5000,50.5700,233517868.0000,0.545470
2017-06-08,sz.002594,2747371,0.000000,50.5000,50.6100,138447553.0000,0.323253
2017-06-09,sz.002594,3868230,-0.514848,50.2400,50.7800,194073372.0000,0.455132
2017-06-12,sz.002594,5522211,0.517513,50.5000,50.8800,277483408.0000,0.649738
2017-06-13,sz.002594,8447017,2.613861,51.8200,52.4900,436146400.0000,0.993868
2017-06-14,sz.002594,9106995,-0.424549,51.6000,52.8300,476553920.0000,1.071521
2017-06-15,sz.002594,3949580,0.193803,51.7000,51.9600,203844291.0000,0.464704
2017-06-16,sz.002594,5115930,-1.257256,51.0500,52.1000,263461006.0000,0.601936
2017-06-19,sz.002594,3631808,0.352596,51.2300,51.6200,186094832.0000,0.427315
2017-06-20,sz.002594,4997227,-1.268783,50.5800,51.8100,255456823.0000,0.587969
2017-06-21,sz.002594,5380853,0.731512,50.9500,51.2700,273301440.0000,0.633106
2017-06-22,sz.002594,5526969,-0.353288,50.7700,51.2500,281679504.0000,0.650298
2017-06-23,sz.002594,4596287,-0.334847,50.6000,50.8800,231809268.0000,0.540795
2017-06-26,sz.002594,6756780,1.818186,51.5200,51.7600,346654544.0000,0.794997
2017-06-27,sz.002594,4628217,-0.097048,51.4700,51.9800,238798256.0000,0.544552
2017-06-28,sz.002594,4705524,-1.768020,50.5600,51.1700,238564224.0000,0.553648
2017-06-29,sz.002594,4120152,-0.494462,50.3100,50.8000,207772933.0000,0.484773
2017-06-30,sz.002594,5651637,-0.715565,49.9500,50.2700,281261808.0000,0.637745
