date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sz.002007,4157232,0.282482,35.5000,35.7600,148045979.0000,0.517511
2017-06-02,sz.002007,4992341,0.619722,35.7200,35.8100,176245748.0000,0.621469
2017-06-05,sz.002007,3806577,-0.615905,35.5000,36.0500,135855120.0000,0.473860
2017-06-06,sz.002007,1864088,0.169018,35.5600,35.7100,66216141.0000,0.232050
2017-06-07,sz.002007,5352697,1.968495,36.2600,36.2600,192626141.0000,0.666328
2017-06-08,sz.002007,11368648,1.241039,36.7100,37.1500,416926432.0000,1.415220
2017-06-09,sz.002007,6856636,0.136201,36.7600,36.9600,251363560.0000,0.853545
2017-06-12,sz.002007,12550965,-1.033725,36.3800,37.4900,463832560.0000,1.562400
2017-06-13,sz.002007,9136284,1.389661,36.4800,36.6800,330515104.0000,1.137325
2017-06-14,sz.002007,5321454,-1.809210,35.8200,36.4200,191477247.0000,0.662438
2017-06-15,sz.002007,4751370,-0.307093,35.7100,36.0800,170015636.0000,0.591472
2017-06-16,sz.002007,5380815,-0.364036,35.5800,35.8700,191795139.0000,0.669828
2017-06-19,sz.002007,5811922,1.039907,35.9500,35.9900,208185537.0000,0.723494
2017-06-20,sz.002007,3652600,-0.584142,35.7400,36.1400,131027807.0000,0.454692
2017-06-21,sz.002007,6003085,0.755447,36.0100,36.1000,214446585.0000,0.747291
2017-06-22,sz.002007,13407563,-0.499851,35.8300,36.4700,485039616.0000,1.669033
2017-06-23,sz.002007,6851952,-0.195377,35.7600,36.0500,243984500.0000,0.852962
2017-06-26,sz.002007,23652690,3.970923,37.1800,37.2500,866037552.0000,2.944392
2017-06-27,sz.002007,13047800,-0.726198,36.9100,37.4500,482991056.0000,1.624248
2017-06-28,sz.002007,14341418,-0.298024,36.8000,37.4400,531614128.0000,1.785284
2017-06-29,sz.002007,18062497,-0.380433,36.6600,37.0000,658643472.0000,2.248500
2017-06-30,sz.002007,12769896,-0.436443,36.5000,36.6300,464398848.0000,1.589489
2017-07-03,sz.002007,16307923,-0.657539,36.2600,36.7300,591021680.0000,2.029872
2017-07-04,sz.002007,26251875,-2.757860,35.2600,36.1900,932238240.0000,3.267611
2017-07-05,sz.002007,63297119,-10.011340,31.7300,33.3000,2033427152.0000,7.878689
2017-07-06,sz.002007,47057920,-2.080050,31.0700,31.6300,1460931728.0000,5.857371
2017-07-07,sz.002007,15923473,-0.289669,30.9800,31.2000,492397888.0000,1.982019
2017-07-10,sz.002007,12037059,-0.419623,30.8500,31.0700,371957280.0000,1.498271
2017-07-11,sz.002007,15380139,-1.717993,30.3200,30.9500,469949616.0000,1.914389
2017-07-12,sz.002007,16117613,-1.286278,29.9300,30.4600,482159792.0000,2.006184
2017-07-13,sz.002007,9839638,0.200466,29.9900,30.1300,295299040.0000,1.224755
2017-07-14,sz.002007,7518260,-0.433475,29.8600,30.0700,224049247.0000,0.935809
2017-07-17,sz.002007,22037930,-5.994645,28.0700,29.7400,625076512.0000,2.743095
2017-07-18,sz.002007,10501945,-0.071252,28.0500,28.3600,294056352.0000,1.307193
2017-07-19,sz.002007,13031912,0.392159,28.1600,28.2500,364320624.0000,1.622102
2017-07-20,sz.002007,10863780,0.887784,28.4100,28.6300,308393184.0000,1.352231
2017-07-21,sz.002007,5671268,-0.211191,28.3500,28.5600,161027010.0000,0.705911
2017-07-24,sz.002007,8146172,-1.093472,28.0400,28.4300,228786938.0000,1.013967
