sh.603833,-1.466093,-1.301926,-0.301505
sh.603799,-3.059878,6.122449,-4.025640
sh.601390,-0.787401,-0.529100,-1.329786
sh.601012,-3.259004,-3.073289,-0.426827
sh.600176,-0.986197,-0.298802,-0.099902
sz.002812,-1.252410,-0.878050,1.993114
sz.002460,-3.401901,1.719902,-1.972624
sz.002415,-2.231666,-1.666670,-0.736915
sz.002414,-1.423265,-0.062776,1.256286
sz.002271,-0.677051,-0.613498,-3.978052
sz.002236,-3.555552,-0.844859,-1.316809
sz.002129,-2.215195,-0.485433,-0.813011
sz.000333,-2.664725,1.493276,-0.367822
sz.000039,-1.335705,0.090255,-0.901717
